"iconicity_condition","adverb_type","polarity","observations","participants","mean_rating","sd_rating","se_rating","median_rating","q1_rating","q3_rating"
"ideophone","manner","affirmative",114,114,95.719298245614,17.1456585345337,1.60583805136689,100,0,0
"ideophone","manner","affirmative",114,114,95.719298245614,17.1456585345337,1.60583805136689,100,100,100
"ideophone","manner","affirmative",114,114,95.719298245614,17.1456585345337,1.60583805136689,100,100,100
"ideophone","manner","affirmative",114,114,95.719298245614,17.1456585345337,1.60583805136689,100,100,100
"ideophone","manner","affirmative",114,114,95.719298245614,17.1456585345337,1.60583805136689,100,100,100
"ideophone","manner","negative",114,114,56.6842105263158,38.3591125861609,3.5926600593063,62,0,0
"ideophone","manner","negative",114,114,56.6842105263158,38.3591125861609,3.5926600593063,62,20.5,20.5
"ideophone","manner","negative",114,114,56.6842105263158,38.3591125861609,3.5926600593063,62,62,62
"ideophone","manner","negative",114,114,56.6842105263158,38.3591125861609,3.5926600593063,62,94.25,94.25
"ideophone","manner","negative",114,114,56.6842105263158,38.3591125861609,3.5926600593063,62,100,100
"ideophone","converbial","affirmative",114,114,88.7894736842105,21.5046706942339,2.01409694549561,100,0,0
"ideophone","converbial","affirmative",114,114,88.7894736842105,21.5046706942339,2.01409694549561,100,82,82
"ideophone","converbial","affirmative",114,114,88.7894736842105,21.5046706942339,2.01409694549561,100,100,100
"ideophone","converbial","affirmative",114,114,88.7894736842105,21.5046706942339,2.01409694549561,100,100,100
"ideophone","converbial","affirmative",114,114,88.7894736842105,21.5046706942339,2.01409694549561,100,100,100
"ideophone","converbial","negative",114,114,51.2982456140351,38.7871271923166,3.63274730003382,57.5,0,0
"ideophone","converbial","negative",114,114,51.2982456140351,38.7871271923166,3.63274730003382,57.5,12,12
"ideophone","converbial","negative",114,114,51.2982456140351,38.7871271923166,3.63274730003382,57.5,57.5,57.5
"ideophone","converbial","negative",114,114,51.2982456140351,38.7871271923166,3.63274730003382,57.5,90,90
"ideophone","converbial","negative",114,114,51.2982456140351,38.7871271923166,3.63274730003382,57.5,100,100
"ideophone","reduplication","affirmative",114,114,92.2631578947368,17.7997974690571,1.66710377585466,100,0,0
"ideophone","reduplication","affirmative",114,114,92.2631578947368,17.7997974690571,1.66710377585466,100,97.25,97.25
"ideophone","reduplication","affirmative",114,114,92.2631578947368,17.7997974690571,1.66710377585466,100,100,100
"ideophone","reduplication","affirmative",114,114,92.2631578947368,17.7997974690571,1.66710377585466,100,100,100
"ideophone","reduplication","affirmative",114,114,92.2631578947368,17.7997974690571,1.66710377585466,100,100,100
"ideophone","reduplication","negative",114,114,55.4561403508772,36.9817320008871,3.46365654797476,60,0,0
"ideophone","reduplication","negative",114,114,55.4561403508772,36.9817320008871,3.46365654797476,60,20,20
"ideophone","reduplication","negative",114,114,55.4561403508772,36.9817320008871,3.46365654797476,60,60,60
"ideophone","reduplication","negative",114,114,55.4561403508772,36.9817320008871,3.46365654797476,60,90.75,90.75
"ideophone","reduplication","negative",114,114,55.4561403508772,36.9817320008871,3.46365654797476,60,100,100
"ideophone","temporal","affirmative",114,114,95.0614035087719,16.3930079459859,1.53534586513563,100,0,0
"ideophone","temporal","affirmative",114,114,95.0614035087719,16.3930079459859,1.53534586513563,100,100,100
"ideophone","temporal","affirmative",114,114,95.0614035087719,16.3930079459859,1.53534586513563,100,100,100
"ideophone","temporal","affirmative",114,114,95.0614035087719,16.3930079459859,1.53534586513563,100,100,100
"ideophone","temporal","affirmative",114,114,95.0614035087719,16.3930079459859,1.53534586513563,100,100,100
"ideophone","temporal","negative",114,114,70.0526315789474,34.3263468833874,3.21495694544121,85,0,0
"ideophone","temporal","negative",114,114,70.0526315789474,34.3263468833874,3.21495694544121,85,40,40
"ideophone","temporal","negative",114,114,70.0526315789474,34.3263468833874,3.21495694544121,85,85,85
"ideophone","temporal","negative",114,114,70.0526315789474,34.3263468833874,3.21495694544121,85,100,100
"ideophone","temporal","negative",114,114,70.0526315789474,34.3263468833874,3.21495694544121,85,100,100
"nonideophone","manner","affirmative",114,114,95.859649122807,11.1719284690023,1.04634696920731,100,29,29
"nonideophone","manner","affirmative",114,114,95.859649122807,11.1719284690023,1.04634696920731,100,100,100
"nonideophone","manner","affirmative",114,114,95.859649122807,11.1719284690023,1.04634696920731,100,100,100
"nonideophone","manner","affirmative",114,114,95.859649122807,11.1719284690023,1.04634696920731,100,100,100
"nonideophone","manner","affirmative",114,114,95.859649122807,11.1719284690023,1.04634696920731,100,100,100
